,score,word,sent,position,listener,talker,talker_gend,snr
161,1,sum,11-05,2,NAF011,NWF002,F,-2
162,1,product,11-05,3,NAF011,NWF002,F,-2
163,0,these,11-05,4,NAF011,NWF002,F,-2
164,0,three,11-05,5,NAF011,NWF002,F,-2
165,0,write,22-08,1,NAM013,NWF009,F,-4
166,1,once,22-08,2,NAM013,NWF009,F,-4
167,0,may,22-08,3,NAM013,NWF009,F,-4
168,0,forget,22-08,4,NAM013,NWF009,F,-4
169,0,it,22-08,5,NAM013,NWF009,F,-4
170,1,walled,08-04,1,NAF011,NWM082,M,-4
171,1,town,08-04,2,NAF011,NWM082,M,-4
172,0,seized,08-04,3,NAF011,NWM082,M,-4
173,0,without,08-04,4,NAF011,NWM082,M,-4
174,0,fight,08-04,5,NAF011,NWM082,M,-4
175,0,clams,56-02,1,NAF016,NWF133,F,0
176,1,small,56-02,2,NAF016,NWF133,F,0
177,0,round,56-02,3,NAF016,NWF133,F,0
178,1,soft,56-02,4,NAF016,NWF133,F,0
179,1,tasty,56-02,5,NAF016,NWF133,F,0
180,1,press,53-01,1,NWF154,NWF008,F,0
181,1,pedal,53-01,2,NWF154,NWF008,F,0
182,1,with,53-01,3,NWF154,NWF008,F,0
183,1,left,53-01,4,NWF154,NWF008,F,0
184,1,foot,53-01,5,NWF154,NWF008,F,0
185,1,dash,27-09,1,NWF153,NWM005,M,-4
186,1,pepper,27-09,2,NWF153,NWM005,M,-4
187,0,spoils,27-09,3,NWF153,NWM005,M,-4
188,0,beef,27-09,4,NWF153,NWM005,M,-4
189,0,stew,27-09,5,NWF153,NWM005,M,-4
190,1,add,19-06,1,NWM088,NWF133,F,0
191,1,column,19-06,2,NWM088,NWF133,F,0
192,1,put,19-06,3,NWM088,NWF133,F,0
193,0,sum,19-06,4,NWM088,NWF133,F,0
194,1,here,19-06,5,NWM088,NWF133,F,0
195,0,early,62-06,1,NAM010,NWF003,F,-4
196,0,phase,62-06,2,NAM010,NWF003,F,-4
197,0,life,62-06,3,NAM010,NWF003,F,-4
198,0,moves,62-06,4,NAM010,NWF003,F,-4
199,0,fast,62-06,5,NAM010,NWF003,F,-4
200,1,tuck,50-06,1,NAF011,NWF133,F,-2
201,1,sheet,50-06,2,NAF011,NWF133,F,-2
202,1,under,50-06,3,NAF011,NWF133,F,-2
203,1,edge,50-06,4,NAF011,NWF133,F,-2
204,1,mat,50-06,5,NAF011,NWF133,F,-2
205,1,raise,40-09,1,NWF153,NWF140,F,0
206,1,sail,40-09,2,NWF153,NWF140,F,0
207,1,steer,40-09,3,NWF153,NWF140,F,0
208,1,ship,40-09,4,NWF153,NWF140,F,0
209,1,northward,40-09,5,NWF153,NWF140,F,0
210,1,bill,10-10,1,NAM013,NWM080,M,0
211,1,paid,10-10,2,NAM013,NWM080,M,0
212,1,every,10-10,3,NAM013,NWM080,M,0
213,1,third,10-10,4,NAM013,NWM080,M,0
214,0,week,10-10,5,NAM013,NWM080,M,0
215,0,curtain,71-06,1,NAF015,NWM007,M,-2
216,1,rose,71-06,2,NAF015,NWM007,M,-2
217,0,show,71-06,3,NAF015,NWM007,M,-2
218,0,was,71-06,4,NAF015,NWM007,M,-2
219,0,on,71-06,5,NAF015,NWM007,M,-2
220,1,dusty,51-04,1,NAF011,NWF135,F,0
221,1,bench,51-04,2,NAF011,NWF135,F,0
222,1,stood,51-04,3,NAF011,NWF135,F,0
223,1,stone,51-04,4,NAF011,NWF135,F,0
224,1,wall,51-04,5,NAF011,NWF135,F,0
225,1,ship,05-02,1,NAM014,NWF004,F,0
226,1,torn,05-02,2,NAM014,NWF004,F,0
227,1,apart,05-02,3,NAM014,NWF004,F,0
228,1,sharp,05-02,4,NAM014,NWF004,F,0
229,1,reef,05-02,5,NAM014,NWF004,F,0
230,0,throw,45-10,1,NAF007,NWF139,F,-2
231,1,used,45-10,2,NAF007,NWF139,F,-2
232,0,paper,45-10,3,NAF007,NWF139,F,-2
233,0,cup,45-10,4,NAF007,NWF139,F,-2
234,0,plate,45-10,5,NAF007,NWF139,F,-2
235,0,pure,15-06,1,NAF015,NWM077,M,0
236,0,bred,15-06,2,NAF015,NWM077,M,0
237,0,poodles,15-06,3,NAF015,NWM077,M,0
238,0,have,15-06,4,NAF015,NWM077,M,0
239,1,curls,15-06,5,NAF015,NWM077,M,0
240,1,ship,05-02,1,NWF149,NWM083,M,-4
241,1,torn,05-02,2,NWF149,NWM083,M,-4
242,1,apart,05-02,3,NWF149,NWM083,M,-4
243,0,sharp,05-02,4,NWF149,NWM083,M,-4
244,0,reef,05-02,5,NWF149,NWM083,M,-4
245,0,caught,13-07,1,NAM011,NWM080,M,-2
246,0,hind,13-07,2,NAM011,NWM080,M,-2
247,0,paw,13-07,3,NAM011,NWM080,M,-2
248,0,rusty,13-07,4,NAM011,NWM080,M,-2
249,0,trap,13-07,5,NAM011,NWM080,M,-2
250,1,told,49-08,1,NAF013,NWM077,M,-4
251,0,wild,49-08,2,NAF013,NWM077,M,-4
252,0,tales,49-08,3,NAF013,NWM077,M,-4
253,0,frighten,49-08,4,NAF013,NWM077,M,-4
254,0,him,49-08,5,NAF013,NWM077,M,-4
255,1,wide,53-09,1,NWF151,NWM080,M,2
256,1,grin,53-09,2,NWF151,NWM080,M,2
257,1,earned,53-09,3,NWF151,NWM080,M,2
258,1,many,53-09,4,NWF151,NWM080,M,2
259,1,friends,53-09,5,NWF151,NWM080,M,2
260,1,black,53-03,1,NWF154,NWF009,F,2
261,1,trunk,53-03,2,NWF154,NWF009,F,2
262,1,fell,53-03,3,NWF154,NWF009,F,2
263,1,from,53-03,4,NWF154,NWF009,F,2
264,0,landing,53-03,5,NWF154,NWF009,F,2
265,1,takes,36-10,1,NAM006,NWF009,F,-2
266,1,good,36-10,2,NAM006,NWF009,F,-2
267,1,trap,36-10,3,NAM006,NWF009,F,-2
268,1,capture,36-10,4,NAM006,NWF009,F,-2
269,0,bear,36-10,5,NAM006,NWF009,F,-2
270,1,boss,13-03,1,NAF010,NWF142,F,0
271,1,ran,13-03,2,NAF010,NWF142,F,0
272,1,show,13-03,3,NAF010,NWF142,F,0
273,1,watchful,13-03,4,NAF010,NWF142,F,0
274,1,eye,13-03,5,NAF010,NWF142,F,0
275,1,sang,65-03,1,NAM014,NWF008,F,-4
276,1,same,65-03,2,NAM014,NWF008,F,-4
277,1,tunes,65-03,3,NAM014,NWF008,F,-4
278,1,each,65-03,4,NAM014,NWF008,F,-4
279,0,party,65-03,5,NAM014,NWF008,F,-4
280,1,high,27-07,1,NWF152,NWF137,F,-4
281,1,seats,27-07,2,NWF152,NWF137,F,-4
282,1,best,27-07,3,NWF152,NWF137,F,-4
283,1,football,27-07,4,NWF152,NWF137,F,-4
284,1,fans,27-07,5,NWF152,NWF137,F,-4
285,1,hang,67-01,1,NWF145,NWM078,M,-2
286,1,tinsel,67-01,2,NWF145,NWM078,M,-2
287,1,from,67-01,3,NWF145,NWM078,M,-2
288,1,both,67-01,4,NWF145,NWM078,M,-2
289,1,branches,67-01,5,NWF145,NWM078,M,-2
290,1,boy,02-01,1,NWF148,NWF003,F,2
291,1,there,02-01,2,NWF148,NWF003,F,2
292,1,when,02-01,3,NWF148,NWF003,F,2
293,1,sun,02-01,4,NWF148,NWF003,F,2
294,1,rose,02-01,5,NWF148,NWF003,F,2
295,0,rude,27-06,1,NAM014,NWF002,F,0
296,0,laugh,27-06,2,NAM014,NWF002,F,0
297,0,filled,27-06,3,NAM014,NWF002,F,0
298,0,empty,27-06,4,NAM014,NWF002,F,0
299,0,room,27-06,5,NAM014,NWF002,F,0
300,1,couch,46-02,1,NAM013,NWM083,M,2
301,1,cover,46-02,2,NAM013,NWM083,M,2
302,0,hall,46-02,3,NAM013,NWM083,M,2
303,0,drapes,46-02,4,NAM013,NWM083,M,2
304,1,blue,46-02,5,NAM013,NWM083,M,2
305,0,brown,56-07,1,NAM011,NWF004,F,-4
306,0,leather,56-07,2,NAM011,NWF004,F,-4
307,0,bag,56-07,3,NAM011,NWF004,F,-4
308,0,hung,56-07,4,NAM011,NWF004,F,-4
309,0,strap,56-07,5,NAM011,NWF004,F,-4
310,1,sky,18-04,1,NAF011,NWF144,F,-4
311,1,morning,18-04,2,NAF011,NWF144,F,-4
312,1,clear,18-04,3,NAF011,NWF144,F,-4
313,1,bright,18-04,4,NAF011,NWF144,F,-4
314,1,blue,18-04,5,NAF011,NWF144,F,-4
315,0,don't,68-08,1,NAF013,NWF008,F,-4
316,0,like,68-08,2,NAF013,NWF008,F,-4
317,0,admit,68-08,3,NAF013,NWF008,F,-4
318,1,small,68-08,4,NAF013,NWF008,F,-4
319,0,faults,68-08,5,NAF013,NWF008,F,-4
320,1,toad,56-08,1,NAM006,NWM080,M,2
321,1,frog,56-08,2,NAM006,NWM080,M,2
322,1,hard,56-08,3,NAM006,NWM080,M,2
323,1,tell,56-08,4,NAM006,NWM080,M,2
324,1,apart,56-08,5,NAM006,NWM080,M,2
325,0,cement,22-01,1,NWF146,NWM005,M,-4
326,0,dried,22-01,2,NWF146,NWM005,M,-4
327,0,when,22-01,3,NWF146,NWM005,M,-4
328,0,moved,22-01,4,NWF146,NWM005,M,-4
329,0,it,22-01,5,NWF146,NWM005,M,-4
330,1,big,71-05,1,NAM007,NWM077,M,-4
331,1,red,71-05,2,NAM007,NWM077,M,-4
332,1,apple,71-05,3,NAM007,NWM077,M,-4
333,1,fell,71-05,4,NAM007,NWM077,M,-4
334,1,ground,71-05,5,NAM007,NWM077,M,-4
335,0,pick,67-05,1,NAM005,NWM079,M,-2
336,1,card,67-05,2,NAM005,NWM079,M,-2
337,1,slip,67-05,3,NAM005,NWM079,M,-2
338,1,under,67-05,4,NAM005,NWM079,M,-2
339,0,pack,67-05,5,NAM005,NWM079,M,-2
340,0,pages,34-05,1,NWF152,NWM086,M,-4
341,0,bound,34-05,2,NWF152,NWM086,M,-4
342,0,cloth,34-05,3,NWF152,NWM086,M,-4
343,0,make,34-05,4,NWF152,NWM086,M,-4
344,0,book,34-05,5,NWF152,NWM086,M,-4
345,1,wipe,04-04,1,NAF013,NWM080,M,2
346,1,grease,04-04,2,NAF013,NWM080,M,2
347,1,off,04-04,3,NAF013,NWM080,M,2
348,1,dirty,04-04,4,NAF013,NWM080,M,2
349,1,face,04-04,5,NAF013,NWM080,M,2
350,1,gold,30-02,1,NAF007,NWM086,M,2
351,1,ring,30-02,2,NAF007,NWM086,M,2
352,1,fits,30-02,3,NAF007,NWM086,M,2
353,1,pierced,30-02,4,NAF007,NWM086,M,2
354,1,ear,30-02,5,NAF007,NWM086,M,2
355,1,beetle,52-10,1,NWF152,NWF002,F,2
356,0,droned,52-10,2,NWF152,NWF002,F,2
357,1,hot,52-10,3,NWF152,NWF002,F,2
358,0,june,52-10,4,NWF152,NWF002,F,2
359,0,sun,52-10,5,NWF152,NWF002,F,2
360,0,press,53-01,1,NAM013,NWM007,M,-4
361,0,pedal,53-01,2,NAM013,NWM007,M,-4
362,1,with,53-01,3,NAM013,NWM007,M,-4
363,0,left,53-01,4,NAM013,NWM007,M,-4
364,0,foot,53-01,5,NAM013,NWM007,M,-4
365,0,cone,40-10,1,NAF013,NWF009,F,2
366,1,costs,40-10,2,NAF013,NWF009,F,2
367,1,five,40-10,3,NAF013,NWF009,F,2
368,1,cents,40-10,4,NAF013,NWF009,F,2
369,1,mondays,40-10,5,NAF013,NWF009,F,2
370,1,gold,30-02,1,NAF013,NWM086,M,2
371,1,ring,30-02,2,NAF013,NWM086,M,2
372,1,fits,30-02,3,NAF013,NWM086,M,2
373,1,pierced,30-02,4,NAF013,NWM086,M,2
374,1,ear,30-02,5,NAF013,NWM086,M,2
375,1,break,56-10,1,NAM011,NWF137,F,0
376,1,dam,56-10,2,NAM011,NWF137,F,0
377,1,almost,56-10,3,NAM011,NWF137,F,0
378,1,caused,56-10,4,NAM011,NWF137,F,0
379,1,flood,56-10,5,NAM011,NWF137,F,0
380,1,rarest,66-01,1,NWM089,NWF137,F,0
381,1,spice,66-01,2,NWM089,NWF137,F,0
382,1,comes,66-01,3,NWM089,NWF137,F,0
383,1,far,66-01,4,NWM089,NWF137,F,0
384,1,east,66-01,5,NWM089,NWF137,F,0
385,0,read,03-10,1,NAF011,NWM007,M,-4
386,0,verse,03-10,2,NAF011,NWM007,M,-4
387,0,out,03-10,3,NAF011,NWM007,M,-4
388,0,loud,03-10,4,NAF011,NWM007,M,-4
389,0,pleasure,03-10,5,NAF011,NWM007,M,-4
390,1,place,06-09,1,NAF014,NWM077,M,0
391,1,rosebush,06-09,2,NAF014,NWM077,M,0
392,1,near,06-09,3,NAF014,NWM077,M,0
393,1,porch,06-09,4,NAF014,NWM077,M,0
394,1,steps,06-09,5,NAF014,NWM077,M,0
395,1,down,55-04,1,NAM006,NWM077,M,-4
396,0,road,55-04,2,NAM006,NWM077,M,-4
397,0,way,55-04,3,NAM006,NWM077,M,-4
398,0,grain,55-04,4,NAM006,NWM077,M,-4
399,0,farmer,55-04,5,NAM006,NWM077,M,-4
400,1,speedy,16-02,1,NAM010,NWM002,M,-2
401,1,man,16-02,2,NAM010,NWM002,M,-2
402,1,beat,16-02,3,NAM010,NWM002,M,-2
403,1,track,16-02,4,NAM010,NWM002,M,-2
404,0,mark,16-02,5,NAM010,NWM002,M,-2
405,1,write,22-08,1,NAM012,NWF142,F,0
406,1,once,22-08,2,NAM012,NWF142,F,0
407,1,may,22-08,3,NAM012,NWF142,F,0
408,1,forget,22-08,4,NAM012,NWF142,F,0
409,0,it,22-08,5,NAM012,NWF142,F,0
410,1,grass,72-06,1,NWF153,NWM081,M,-2
411,1,bushes,72-06,2,NWF153,NWM081,M,-2
412,1,were,72-06,3,NWF153,NWM081,M,-2
413,1,wet,72-06,4,NWF153,NWM081,M,-2
414,0,dew,72-06,5,NWF153,NWM081,M,-2
415,1,takes,40-07,1,NAF011,NWM077,M,-4
416,1,heat,40-07,2,NAF011,NWM077,M,-4
417,1,bring,40-07,3,NAF011,NWM077,M,-4
418,1,out,40-07,4,NAF011,NWM077,M,-4
419,0,odor,40-07,5,NAF011,NWM077,M,-4
420,1,smile,51-06,1,NAM012,NWF144,F,2
421,1,when,51-06,2,NAM012,NWF144,F,2
422,1,say,51-06,3,NAM012,NWF144,F,2
423,1,nasty,51-06,4,NAM012,NWF144,F,2
424,1,words,51-06,5,NAM012,NWF144,F,2
425,1,wrote,55-02,1,NWF152,NWM055,M,-4
426,1,name,55-02,2,NWF152,NWM055,M,-4
427,1,boldly,55-02,3,NWF152,NWM055,M,-4
428,1,top,55-02,4,NWF152,NWM055,M,-4
429,1,sheet,55-02,5,NWF152,NWM055,M,-4
430,0,pile,65-08,1,NAF011,NWF135,F,-2
431,0,coal,65-08,2,NAF011,NWF135,F,-2
432,0,high,65-08,3,NAF011,NWF135,F,-2
433,0,shed,65-08,4,NAF011,NWF135,F,-2
434,0,corner,65-08,5,NAF011,NWF135,F,-2
435,1,ten,10-09,1,NAF015,NWF133,F,2
436,1,pins,10-09,2,NAF015,NWF133,F,2
437,1,set,10-09,3,NAF015,NWF133,F,2
438,1,in,10-09,4,NAF015,NWF133,F,2
439,1,order,10-09,5,NAF015,NWF133,F,2
440,0,wrote,55-02,1,NAF016,NWM004,M,2
441,0,name,55-02,2,NAF016,NWM004,M,2
442,1,boldly,55-02,3,NAF016,NWM004,M,2
443,1,top,55-02,4,NAF016,NWM004,M,2
444,1,sheet,55-02,5,NAF016,NWM004,M,2
445,0,rope,05-07,1,NAM014,NWF009,F,-4
446,0,bind,05-07,2,NAM014,NWF009,F,-4
447,0,seven,05-07,3,NAM014,NWF009,F,-4
448,0,books,05-07,4,NAM014,NWF009,F,-4
449,0,once,05-07,5,NAM014,NWF009,F,-4
450,1,man,50-01,1,NAM006,NWM007,M,-2
451,0,blue,50-01,2,NAM006,NWM007,M,-2
452,0,sweater,50-01,3,NAM006,NWM007,M,-2
453,0,sat,50-01,4,NAM006,NWM007,M,-2
454,0,desk,50-01,5,NAM006,NWM007,M,-2
455,0,drive,59-04,1,NWF147,NWM004,M,-4
456,0,screw,59-04,2,NWF147,NWM004,M,-4
457,1,straight,59-04,3,NWF147,NWM004,M,-4
458,0,into,59-04,4,NWF147,NWM004,M,-4
459,0,wood,59-04,5,NWF147,NWM004,M,-4
460,1,grass,72-06,1,NAF007,NWF136,F,-2
461,1,bushes,72-06,2,NAF007,NWF136,F,-2
462,1,were,72-06,3,NAF007,NWF136,F,-2
463,1,wet,72-06,4,NAF007,NWF136,F,-2
464,1,dew,72-06,5,NAF007,NWF136,F,-2
465,0,rake,23-09,1,NAF007,NWF142,F,0
466,1,rubbish,23-09,2,NAF007,NWF142,F,0
467,1,up,23-09,3,NAF007,NWF142,F,0
468,1,burn,23-09,4,NAF007,NWF142,F,0
469,1,it,23-09,5,NAF007,NWF142,F,0
470,1,young,04-08,1,NAF015,NWM082,M,-4
471,1,girl,04-08,2,NAF015,NWM082,M,-4
472,1,gave,04-08,3,NAF015,NWM082,M,-4
473,0,clear,04-08,4,NAF015,NWM082,M,-4
474,1,response,04-08,5,NAF015,NWM082,M,-4
475,1,man,50-01,1,NWF152,NWM007,M,0
476,1,blue,50-01,2,NWF152,NWM007,M,0
477,1,sweater,50-01,3,NWF152,NWM007,M,0
478,0,sat,50-01,4,NWF152,NWM007,M,0
479,0,desk,50-01,5,NWF152,NWM007,M,0
480,1,place,06-09,1,NAM007,NWF139,F,2
481,1,rosebush,06-09,2,NAM007,NWF139,F,2
482,1,near,06-09,3,NAM007,NWF139,F,2
483,1,porch,06-09,4,NAM007,NWF139,F,2
484,1,steps,06-09,5,NAM007,NWF139,F,2
485,1,code,34-10,1,NAM012,NWM005,M,-2
486,0,used,34-10,2,NAM012,NWM005,M,-2
487,0,when,34-10,3,NAM012,NWM005,M,-2
488,0,secrets,34-10,4,NAM012,NWM005,M,-2
489,0,sent,34-10,5,NAM012,NWM005,M,-2
490,0,abrupt,17-05,1,NWF154,NWF004,F,-4
491,1,start,17-05,2,NWF154,NWF004,F,-4
492,0,not,17-05,3,NWF154,NWF004,F,-4
493,0,win,17-05,4,NWF154,NWF004,F,-4
494,0,prize,17-05,5,NWF154,NWF004,F,-4
495,1,rude,27-06,1,NAM006,NWF136,F,0
496,1,laugh,27-06,2,NAM006,NWF136,F,0
497,1,filled,27-06,3,NAM006,NWF136,F,0
498,0,empty,27-06,4,NAM006,NWF136,F,0
499,0,room,27-06,5,NAM006,NWF136,F,0
500,1,do,22-04,1,NAM009,NWF135,F,-2
501,1,that,22-04,2,NAM009,NWF135,F,-2
502,0,with,22-04,3,NAM009,NWF135,F,-2
503,1,wooden,22-04,4,NAM009,NWF135,F,-2
504,0,stick,22-04,5,NAM009,NWF135,F,-2
505,1,wrote,39-01,1,NAF012,NWF133,F,2
506,1,down,39-01,2,NAF012,NWF133,F,2
507,1,long,39-01,3,NAF012,NWF133,F,2
508,1,list,39-01,4,NAF012,NWF133,F,2
509,1,items,39-01,5,NAF012,NWF133,F,2
